País de Nacimiento,Español/Extranjero,Sexo,Año,Total
Polonia,TOTAL,Hombres,2010,42.556
Polonia,TOTAL,Hombres,2009,43.164
Polonia,TOTAL,Hombres,2008,40.647
Polonia,TOTAL,Hombres,2007,31.761
Polonia,TOTAL,Hombres,2006,22.924
Polonia,TOTAL,Hombres,2005,18.086
Polonia,TOTAL,Hombres,2004,13.588
Polonia,TOTAL,Hombres,2003,12.378
Polonia,TOTAL,Hombres,2002,9.467
Polonia,TOTAL,Hombres,2001,6.730
Polonia,TOTAL,Hombres,2000,4.219
Polonia,TOTAL,Hombres,1999,3.497
Polonia,TOTAL,Hombres,1998,3.039
Polonia,TOTAL,Mujeres,2022,29.726
Polonia,TOTAL,Mujeres,2021,29.288
Polonia,TOTAL,Mujeres,2020,29.760
Polonia,TOTAL,Mujeres,2019,29.418
Polonia,TOTAL,Mujeres,2018,28.969
Polonia,TOTAL,Mujeres,2017,29.039
Polonia,TOTAL,Mujeres,2016,30.624
Polonia,TOTAL,Mujeres,2015,32.950
Polonia,TOTAL,Mujeres,2014,35.051
Polonia,TOTAL,Mujeres,2013,38.292
Polonia,TOTAL,Mujeres,2012,39.734
Polonia,TOTAL,Mujeres,2011,39.789
Polonia,TOTAL,Mujeres,2010,39.286
Polonia,TOTAL,Mujeres,2009,38.207
Polonia,TOTAL,Mujeres,2008,35.111
Polonia,TOTAL,Mujeres,2007,27.664
Polonia,TOTAL,Mujeres,2006,21.415
Polonia,TOTAL,Mujeres,2005,17.671
Polonia,TOTAL,Mujeres,2004,14.070
Polonia,TOTAL,Mujeres,2003,12.621
Polonia,TOTAL,Mujeres,2002,9.655
Polonia,TOTAL,Mujeres,2001,7.171
Polonia,TOTAL,Mujeres,2000,4.407
Polonia,TOTAL,Mujeres,1999,3.573
Polonia,TOTAL,Mujeres,1998,2.972
Polonia,Nacionalidad Española,Ambos sexos,2022,3.079
Polonia,Nacionalidad Española,Ambos sexos,2021,2.857
Polonia,Nacionalidad Española,Ambos sexos,2020,2.622
Polonia,Nacionalidad Española,Ambos sexos,2019,2.456
Polonia,Nacionalidad Española,Ambos sexos,2018,2.317
Polonia,Nacionalidad Española,Ambos sexos,2017,2.188
Polonia,Nacionalidad Española,Ambos sexos,2016,2.048
Polonia,Nacionalidad Española,Ambos sexos,2015,1.943
Polonia,Nacionalidad Española,Ambos sexos,2014,1.684
Polonia,Nacionalidad Española,Ambos sexos,2013,1.547
Polonia,Nacionalidad Española,Ambos sexos,2012,1.467
Polonia,Nacionalidad Española,Ambos sexos,2011,1.385
Polonia,Nacionalidad Española,Ambos sexos,2010,1.302
Polonia,Nacionalidad Española,Ambos sexos,2009,1.235
Polonia,Nacionalidad Española,Ambos sexos,2008,1.142
Polonia,Nacionalidad Española,Ambos sexos,2007,1.129
Polonia,Nacionalidad Española,Ambos sexos,2006,1.048
Polonia,Nacionalidad Española,Ambos sexos,2005,1.121
Polonia,Nacionalidad Española,Ambos sexos,2004,1.132
Polonia,Nacionalidad Española,Ambos sexos,2003,1.102
Polonia,Nacionalidad Española,Ambos sexos,2002,999
Polonia,Nacionalidad Española,Ambos sexos,2001,937
Polonia,Nacionalidad Española,Ambos sexos,2000,853
Polonia,Nacionalidad Española,Ambos sexos,1999,766
Polonia,Nacionalidad Española,Ambos sexos,1998,665
Polonia,Nacionalidad Española,Hombres,2022,1.213
Polonia,Nacionalidad Española,Hombres,2021,1.147
Polonia,Nacionalidad Española,Hombres,2020,1.052
Polonia,Nacionalidad Española,Hombres,2019,984
Polonia,Nacionalidad Española,Hombres,2018,932
Polonia,Nacionalidad Española,Hombres,2017,878
Polonia,Nacionalidad Española,Hombres,2016,826
Polonia,Nacionalidad Española,Hombres,2015,793
Polonia,Nacionalidad Española,Hombres,2014,693
Polonia,Nacionalidad Española,Hombres,2013,641
Polonia,Nacionalidad Española,Hombres,2012,602
Polonia,Nacionalidad Española,Hombres,2011,590
Polonia,Nacionalidad Española,Hombres,2010,552
Polonia,Nacionalidad Española,Hombres,2009,521
Polonia,Nacionalidad Española,Hombres,2008,483
Polonia,Nacionalidad Española,Hombres,2007,484
Polonia,Nacionalidad Española,Hombres,2006,450
Polonia,Nacionalidad Española,Hombres,2005,514
Polonia,Nacionalidad Española,Hombres,2004,529
Polonia,Nacionalidad Española,Hombres,2003,525
Polonia,Nacionalidad Española,Hombres,2002,474
Polonia,Nacionalidad Española,Hombres,2001,416
Polonia,Nacionalidad Española,Hombres,2000,364
Polonia,Nacionalidad Española,Hombres,1999,325
Polonia,Nacionalidad Española,Hombres,1998,284
Polonia,Nacionalidad Española,Mujeres,2022,1.866
Polonia,Nacionalidad Española,Mujeres,2021,1.710
Polonia,Nacionalidad Española,Mujeres,2020,1.570
Polonia,Nacionalidad Española,Mujeres,2019,1.472
Polonia,Nacionalidad Española,Mujeres,2018,1.385
Polonia,Nacionalidad Española,Mujeres,2017,1.310
Polonia,Nacionalidad Española,Mujeres,2016,1.222
Polonia,Nacionalidad Española,Mujeres,2015,1.150
Polonia,Nacionalidad Española,Mujeres,2014,991
Polonia,Nacionalidad Española,Mujeres,2013,906
Polonia,Nacionalidad Española,Mujeres,2012,865
Polonia,Nacionalidad Española,Mujeres,2011,795
Polonia,Nacionalidad Española,Mujeres,2010,750
Polonia,Nacionalidad Española,Mujeres,2009,714
Polonia,Nacionalidad Española,Mujeres,2008,659
Polonia,Nacionalidad Española,Mujeres,2007,645
Polonia,Nacionalidad Española,Mujeres,2006,598
Polonia,Nacionalidad Española,Mujeres,2005,607
Polonia,Nacionalidad Española,Mujeres,2004,603
Polonia,Nacionalidad Española,Mujeres,2003,577
Polonia,Nacionalidad Española,Mujeres,2002,525
Polonia,Nacionalidad Española,Mujeres,2001,521
Polonia,Nacionalidad Española,Mujeres,2000,489
Polonia,Nacionalidad Española,Mujeres,1999,441
Polonia,Nacionalidad Española,Mujeres,1998,381
Polonia,Nacionalidad Extranjera,Ambos sexos,2022,45.720
Polonia,Nacionalidad Extranjera,Ambos sexos,2021,45.340
Polonia,Nacionalidad Extranjera,Ambos sexos,2020,46.623
Polonia,Nacionalidad Extranjera,Ambos sexos,2019,46.461
Polonia,Nacionalidad Extranjera,Ambos sexos,2018,46.114
Polonia,Nacionalidad Extranjera,Ambos sexos,2017,46.931
Polonia,Nacionalidad Extranjera,Ambos sexos,2016,50.806
Polonia,Nacionalidad Extranjera,Ambos sexos,2015,56.568
Polonia,Nacionalidad Extranjera,Ambos sexos,2014,62.746
Polonia,Nacionalidad Extranjera,Ambos sexos,2013,72.186
Polonia,Nacionalidad Extranjera,Ambos sexos,2012,77.604
Polonia,Nacionalidad Extranjera,Ambos sexos,2011,79.576
Polonia,Nacionalidad Extranjera,Ambos sexos,2010,80.540
Polonia,Nacionalidad Extranjera,Ambos sexos,2009,80.136
Polonia,Nacionalidad Extranjera,Ambos sexos,2008,74.616
Polonia,Nacionalidad Extranjera,Ambos sexos,2007,58.296
Polonia,Nacionalidad Extranjera,Ambos sexos,2006,43.291
Polonia,Nacionalidad Extranjera,Ambos sexos,2005,34.636
Polonia,Nacionalidad Extranjera,Ambos sexos,2004,26.526
Polonia,Nacionalidad Extranjera,Ambos sexos,2003,23.897
Polonia,Nacionalidad Extranjera,Ambos sexos,2002,18.122
Polonia,Nacionalidad Extranjera,Ambos sexos,2001,12.963
Polonia,Nacionalidad Extranjera,Ambos sexos,2000,7.773
Polonia,Nacionalidad Extranjera,Ambos sexos,1999,6.305
Polonia,Nacionalidad Extranjera,Ambos sexos,1998,5.345
Polonia,Nacionalidad Extranjera,Hombres,2022,17.860
Polonia,Nacionalidad Extranjera,Hombres,2021,17.762
Polonia,Nacionalidad Extranjera,Hombres,2020,18.433
Polonia,Nacionalidad Extranjera,Hombres,2019,18.515
Polonia,Nacionalidad Extranjera,Hombres,2018,18.530
Polonia,Nacionalidad Extranjera,Hombres,2017,19.202
Polonia,Nacionalidad Extranjera,Hombres,2016,21.404
Polonia,Nacionalidad Extranjera,Hombres,2015,24.768
Polonia,Nacionalidad Extranjera,Hombres,2014,28.686
Polonia,Nacionalidad Extranjera,Hombres,2013,34.800
Polonia,Nacionalidad Extranjera,Hombres,2012,38.735
Polonia,Nacionalidad Extranjera,Hombres,2011,40.582
Polonia,Nacionalidad Extranjera,Hombres,2010,42.004
Polonia,Nacionalidad Extranjera,Hombres,2009,42.643
Polonia,Nacionalidad Extranjera,Hombres,2008,40.164
Polonia,Nacionalidad Extranjera,Hombres,2007,31.277
Polonia,Nacionalidad Extranjera,Hombres,2006,22.474
Polonia,Nacionalidad Extranjera,Hombres,2005,17.572
Polonia,Nacionalidad Extranjera,Hombres,2004,13.059
Polonia,Nacionalidad Extranjera,Hombres,2003,11.853
Polonia,Nacionalidad Extranjera,Hombres,2002,8.993
Polonia,Nacionalidad Extranjera,Hombres,2001,6.314
Polonia,Nacionalidad Extranjera,Hombres,2000,3.855
Polonia,Nacionalidad Extranjera,Hombres,1999,3.172
Polonia,Nacionalidad Extranjera,Hombres,1998,2.754
Polonia,Nacionalidad Extranjera,Mujeres,2022,27.860
Polonia,Nacionalidad Extranjera,Mujeres,2021,27.578
Polonia,Nacionalidad Extranjera,Mujeres,2020,28.190
Polonia,Nacionalidad Extranjera,Mujeres,2019,27.946
Polonia,Nacionalidad Extranjera,Mujeres,2018,27.584
Polonia,Nacionalidad Extranjera,Mujeres,2017,27.729
Polonia,Nacionalidad Extranjera,Mujeres,2016,29.402
Polonia,Nacionalidad Extranjera,Mujeres,2015,31.800
Polonia,Nacionalidad Extranjera,Mujeres,2014,34.060
Polonia,Nacionalidad Extranjera,Mujeres,2013,37.386
Polonia,Nacionalidad Extranjera,Mujeres,2012,38.869
Polonia,Nacionalidad Extranjera,Mujeres,2011,38.994
Polonia,Nacionalidad Extranjera,Mujeres,2010,38.536
Polonia,Nacionalidad Extranjera,Mujeres,2009,37.493
Polonia,Nacionalidad Extranjera,Mujeres,2008,34.452
Polonia,Nacionalidad Extranjera,Mujeres,2007,27.019
Polonia,Nacionalidad Extranjera,Mujeres,2006,20.817
Polonia,Nacionalidad Extranjera,Mujeres,2005,17.064
Polonia,Nacionalidad Extranjera,Mujeres,2004,13.467
Polonia,Nacionalidad Extranjera,Mujeres,2003,12.044
Polonia,Nacionalidad Extranjera,Mujeres,2002,9.129
Polonia,Nacionalidad Extranjera,Mujeres,2001,6.650
Polonia,Nacionalidad Extranjera,Mujeres,2000,3.918
Polonia,Nacionalidad Extranjera,Mujeres,1999,3.132
Polonia,Nacionalidad Extranjera,Mujeres,1998,2.591
Portugal,TOTAL,Ambos sexos,2022,93.621
Portugal,TOTAL,Ambos sexos,2021,93.902
Portugal,TOTAL,Ambos sexos,2020,95.221
Portugal,TOTAL,Ambos sexos,2019,94.319
Portugal,TOTAL,Ambos sexos,2018,94.520
Portugal,TOTAL,Ambos sexos,2017,96.266
Portugal,TOTAL,Ambos sexos,2016,100.027
Portugal,TOTAL,Ambos sexos,2015,107.226
Portugal,TOTAL,Ambos sexos,2014,116.710
Portugal,TOTAL,Ambos sexos,2013,134.248
Portugal,TOTAL,Ambos sexos,2012,143.488
Portugal,TOTAL,Ambos sexos,2011,146.298
Portugal,TOTAL,Ambos sexos,2010,148.789
Portugal,TOTAL,Ambos sexos,2009,148.154
Portugal,TOTAL,Ambos sexos,2008,136.171
Portugal,TOTAL,Ambos sexos,2007,111.575
Portugal,TOTAL,Ambos sexos,2006,93.767
Portugal,TOTAL,Ambos sexos,2005,80.846
Portugal,TOTAL,Ambos sexos,2004,71.065
Portugal,TOTAL,Ambos sexos,2003,71.843
Portugal,TOTAL,Ambos sexos,2002,67.313
Portugal,TOTAL,Ambos sexos,2001,62.610
Portugal,TOTAL,Ambos sexos,2000,58.364
Portugal,TOTAL,Ambos sexos,1999,54.065
Portugal,TOTAL,Ambos sexos,1998,51.303
Portugal,TOTAL,Hombres,2022,50.453
Portugal,TOTAL,Hombres,2021,50.752
Portugal,TOTAL,Hombres,2020,51.535
Portugal,TOTAL,Hombres,2019,51.020
Portugal,TOTAL,Hombres,2018,51.178
Portugal,TOTAL,Hombres,2017,52.353
Portugal,TOTAL,Hombres,2016,54.983
Portugal,TOTAL,Hombres,2015,59.754
Portugal,TOTAL,Hombres,2014,66.605
Portugal,TOTAL,Hombres,2013,79.010
Portugal,TOTAL,Hombres,2012,85.733
Portugal,TOTAL,Hombres,2011,87.803
Portugal,TOTAL,Hombres,2010,89.918
Portugal,TOTAL,Hombres,2009,90.092
Portugal,TOTAL,Hombres,2008,82.848
Portugal,TOTAL,Hombres,2007,65.344
Portugal,TOTAL,Hombres,2006,52.777
Portugal,TOTAL,Hombres,2005,43.659
Portugal,TOTAL,Hombres,2004,36.950
Portugal,TOTAL,Hombres,2003,36.981
Portugal,TOTAL,Hombres,2002,34.267
Portugal,TOTAL,Hombres,2001,31.222
Portugal,TOTAL,Hombres,2000,28.546
Portugal,TOTAL,Hombres,1999,25.945
Portugal,TOTAL,Hombres,1998,24.402
Portugal,TOTAL,Mujeres,2022,43.168
Portugal,TOTAL,Mujeres,2021,43.150
Portugal,TOTAL,Mujeres,2020,43.686
Portugal,TOTAL,Mujeres,2019,43.299
Portugal,TOTAL,Mujeres,2018,43.342
Portugal,TOTAL,Mujeres,2017,43.913
Portugal,TOTAL,Mujeres,2016,45.044
Portugal,TOTAL,Mujeres,2015,47.472
Portugal,TOTAL,Mujeres,2014,50.105
Portugal,TOTAL,Mujeres,2013,55.238
Portugal,TOTAL,Mujeres,2012,57.755
Portugal,TOTAL,Mujeres,2011,58.495
Portugal,TOTAL,Mujeres,2010,58.871
Portugal,TOTAL,Mujeres,2009,58.062
Portugal,TOTAL,Mujeres,2008,53.323
Portugal,TOTAL,Mujeres,2007,46.231
Portugal,TOTAL,Mujeres,2006,40.990
Portugal,TOTAL,Mujeres,2005,37.187
Portugal,TOTAL,Mujeres,2004,34.115
Portugal,TOTAL,Mujeres,2003,34.862
Portugal,TOTAL,Mujeres,2002,33.046
Portugal,TOTAL,Mujeres,2001,31.388
Portugal,TOTAL,Mujeres,2000,29.818
Portugal,TOTAL,Mujeres,1999,28.120
Portugal,TOTAL,Mujeres,1998,26.901
Portugal,Nacionalidad Española,Ambos sexos,2022,24.222
Portugal,Nacionalidad Española,Ambos sexos,2021,24.291
Portugal,Nacionalidad Española,Ambos sexos,2020,24.324
Portugal,Nacionalidad Española,Ambos sexos,2019,24.279
Portugal,Nacionalidad Española,Ambos sexos,2018,24.302
Portugal,Nacionalidad Española,Ambos sexos,2017,24.661
Portugal,Nacionalidad Española,Ambos sexos,2016,24.471
Portugal,Nacionalidad Española,Ambos sexos,2015,24.301
Portugal,Nacionalidad Española,Ambos sexos,2014,23.403
Portugal,Nacionalidad Española,Ambos sexos,2013,22.867
Portugal,Nacionalidad Española,Ambos sexos,2012,22.714
Portugal,Nacionalidad Española,Ambos sexos,2011,23.096
Portugal,Nacionalidad Española,Ambos sexos,2010,23.087
Portugal,Nacionalidad Española,Ambos sexos,2009,22.836
Portugal,Nacionalidad Española,Ambos sexos,2008,22.613
Portugal,Nacionalidad Española,Ambos sexos,2007,22.297
Portugal,Nacionalidad Española,Ambos sexos,2006,22.365
Portugal,Nacionalidad Española,Ambos sexos,2005,22.498
Portugal,Nacionalidad Española,Ambos sexos,2004,22.451
Portugal,Nacionalidad Española,Ambos sexos,2003,22.424
Portugal,Nacionalidad Española,Ambos sexos,2002,22.030
Portugal,Nacionalidad Española,Ambos sexos,2001,21.920
Portugal,Nacionalidad Española,Ambos sexos,2000,21.781
Portugal,Nacionalidad Española,Ambos sexos,1999,20.974
Portugal,Nacionalidad Española,Ambos sexos,1998,20.840
Portugal,Nacionalidad Española,Hombres,2022,10.433
Portugal,Nacionalidad Española,Hombres,2021,10.489
Portugal,Nacionalidad Española,Hombres,2020,10.509
Portugal,Nacionalidad Española,Hombres,2019,10.490
Portugal,Nacionalidad Española,Hombres,2018,10.517
Portugal,Nacionalidad Española,Hombres,2017,10.709
Portugal,Nacionalidad Española,Hombres,2016,10.632
Portugal,Nacionalidad Española,Hombres,2015,10.614
Portugal,Nacionalidad Española,Hombres,2014,10.170
Portugal,Nacionalidad Española,Hombres,2013,9.916
Portugal,Nacionalidad Española,Hombres,2012,9.838
Portugal,Nacionalidad Española,Hombres,2011,10.079
Portugal,Nacionalidad Española,Hombres,2010,10.147
Portugal,Nacionalidad Española,Hombres,2009,10.034
Portugal,Nacionalidad Española,Hombres,2008,9.959
Portugal,Nacionalidad Española,Hombres,2007,9.825
Portugal,Nacionalidad Española,Hombres,2006,9.884
Portugal,Nacionalidad Española,Hombres,2005,10.004
Portugal,Nacionalidad Española,Hombres,2004,10.018
Portugal,Nacionalidad Española,Hombres,2003,9.993
Portugal,Nacionalidad Española,Hombres,2002,9.887
Portugal,Nacionalidad Española,Hombres,2001,9.818
Portugal,Nacionalidad Española,Hombres,2000,9.765
Portugal,Nacionalidad Española,Hombres,1999,9.384
Portugal,Nacionalidad Española,Hombres,1998,9.327
Portugal,Nacionalidad Española,Mujeres,2022,13.789
Portugal,Nacionalidad Española,Mujeres,2021,13.802
Portugal,Nacionalidad Española,Mujeres,2020,13.815
Portugal,Nacionalidad Española,Mujeres,2019,13.789
Portugal,Nacionalidad Española,Mujeres,2018,13.785
Portugal,Nacionalidad Española,Mujeres,2017,13.952
Portugal,Nacionalidad Española,Mujeres,2016,13.839
Portugal,Nacionalidad Española,Mujeres,2015,13.687
Portugal,Nacionalidad Española,Mujeres,2014,13.233
Portugal,Nacionalidad Española,Mujeres,2013,12.951
Portugal,Nacionalidad Española,Mujeres,2012,12.876
Portugal,Nacionalidad Española,Mujeres,2011,13.017
Portugal,Nacionalidad Española,Mujeres,2010,12.940
Portugal,Nacionalidad Española,Mujeres,2009,12.802
Portugal,Nacionalidad Española,Mujeres,2008,12.654
Portugal,Nacionalidad Española,Mujeres,2007,12.472
Portugal,Nacionalidad Española,Mujeres,2006,12.481
Portugal,Nacionalidad Española,Mujeres,2005,12.494
Portugal,Nacionalidad Española,Mujeres,2004,12.433
Portugal,Nacionalidad Española,Mujeres,2003,12.431
Portugal,Nacionalidad Española,Mujeres,2002,12.143
Portugal,Nacionalidad Española,Mujeres,2001,12.103
Portugal,Nacionalidad Española,Mujeres,2000,12.016
Portugal,Nacionalidad Española,Mujeres,1999,11.590
Portugal,Nacionalidad Española,Mujeres,1998,11.514
Portugal,Nacionalidad Extranjera,Ambos sexos,2022,69.399
Portugal,Nacionalidad Extranjera,Ambos sexos,2021,69.611
Portugal,Nacionalidad Extranjera,Ambos sexos,2020,70.897
Portugal,Nacionalidad Extranjera,Ambos sexos,2019,70.040
Portugal,Nacionalidad Extranjera,Ambos sexos,2018,70.218
Portugal,Nacionalidad Extranjera,Ambos sexos,2017,71.605
Portugal,Nacionalidad Extranjera,Ambos sexos,2016,75.556
Portugal,Nacionalidad Extranjera,Ambos sexos,2015,82.925
Portugal,Nacionalidad Extranjera,Ambos sexos,2014,93.307
Portugal,Nacionalidad Extranjera,Ambos sexos,2013,111.381
Portugal,Nacionalidad Extranjera,Ambos sexos,2012,120.774
Portugal,Nacionalidad Extranjera,Ambos sexos,2011,123.202
Portugal,Nacionalidad Extranjera,Ambos sexos,2010,125.702
Portugal,Nacionalidad Extranjera,Ambos sexos,2009,125.318
Portugal,Nacionalidad Extranjera,Ambos sexos,2008,113.558
Portugal,Nacionalidad Extranjera,Ambos sexos,2007,89.278
Portugal,Nacionalidad Extranjera,Ambos sexos,2006,71.402
Portugal,Nacionalidad Extranjera,Ambos sexos,2005,58.348
Portugal,Nacionalidad Extranjera,Ambos sexos,2004,48.614
Portugal,Nacionalidad Extranjera,Ambos sexos,2003,49.419
Portugal,Nacionalidad Extranjera,Ambos sexos,2002,45.284
Portugal,Nacionalidad Extranjera,Ambos sexos,2001,40.690
Portugal,Nacionalidad Extranjera,Ambos sexos,2000,36.583
Portugal,Nacionalidad Extranjera,Ambos sexos,1999,33.090
Portugal,Nacionalidad Extranjera,Ambos sexos,1998,30.463
Portugal,Nacionalidad Extranjera,Hombres,2022,40.020
Portugal,Nacionalidad Extranjera,Hombres,2021,40.263
Portugal,Nacionalidad Extranjera,Hombres,2020,41.026
Portugal,Nacionalidad Extranjera,Hombres,2019,40.530
Portugal,Nacionalidad Extranjera,Hombres,2018,40.661
Portugal,Nacionalidad Extranjera,Hombres,2017,41.644
Portugal,Nacionalidad Extranjera,Hombres,2016,44.351
Portugal,Nacionalidad Extranjera,Hombres,2015,49.140
Portugal,Nacionalidad Extranjera,Hombres,2014,56.435
Portugal,Nacionalidad Extranjera,Hombres,2013,69.094
Portugal,Nacionalidad Extranjera,Hombres,2012,75.895
Portugal,Nacionalidad Extranjera,Hombres,2011,77.724
Portugal,Nacionalidad Extranjera,Hombres,2010,79.771
Portugal,Nacionalidad Extranjera,Hombres,2009,80.058
Portugal,Nacionalidad Extranjera,Hombres,2008,72.889
Portugal,Nacionalidad Extranjera,Hombres,2007,55.519
Portugal,Nacionalidad Extranjera,Hombres,2006,42.893
Portugal,Nacionalidad Extranjera,Hombres,2005,33.655
Portugal,Nacionalidad Extranjera,Hombres,2004,26.932
Portugal,Nacionalidad Extranjera,Hombres,2003,26.988
Portugal,Nacionalidad Extranjera,Hombres,2002,24.380
Portugal,Nacionalidad Extranjera,Hombres,2001,21.405
Portugal,Nacionalidad Extranjera,Hombres,2000,18.781
Portugal,Nacionalidad Extranjera,Hombres,1999,16.561
Portugal,Nacionalidad Extranjera,Hombres,1998,15.076
Portugal,Nacionalidad Extranjera,Mujeres,2022,29.379
Portugal,Nacionalidad Extranjera,Mujeres,2021,29.348
Portugal,Nacionalidad Extranjera,Mujeres,2020,29.871
Portugal,Nacionalidad Extranjera,Mujeres,2019,29.510
Portugal,Nacionalidad Extranjera,Mujeres,2018,29.557
Portugal,Nacionalidad Extranjera,Mujeres,2017,29.961
Portugal,Nacionalidad Extranjera,Mujeres,2016,31.205
Portugal,Nacionalidad Extranjera,Mujeres,2015,33.785
Portugal,Nacionalidad Extranjera,Mujeres,2014,36.872
Portugal,Nacionalidad Extranjera,Mujeres,2013,42.287
Portugal,Nacionalidad Extranjera,Mujeres,2012,44.879
Portugal,Nacionalidad Extranjera,Mujeres,2011,45.478
Portugal,Nacionalidad Extranjera,Mujeres,2010,45.931
Portugal,Nacionalidad Extranjera,Mujeres,2009,45.260
Portugal,Nacionalidad Extranjera,Mujeres,2008,40.669
Portugal,Nacionalidad Extranjera,Mujeres,2007,33.759
Portugal,Nacionalidad Extranjera,Mujeres,2006,28.509
Portugal,Nacionalidad Extranjera,Mujeres,2005,24.693
Portugal,Nacionalidad Extranjera,Mujeres,2004,21.682
Portugal,Nacionalidad Extranjera,Mujeres,2003,22.431
Portugal,Nacionalidad Extranjera,Mujeres,2002,20.904
Portugal,Nacionalidad Extranjera,Mujeres,2001,19.286
Portugal,Nacionalidad Extranjera,Mujeres,2000,17.802
Portugal,Nacionalidad Extranjera,Mujeres,1999,16.530
Portugal,Nacionalidad Extranjera,Mujeres,1998,15.387
República Checa,TOTAL,Ambos sexos,2022,7.389
República Checa,TOTAL,Ambos sexos,2021,7.199
República Checa,TOTAL,Ambos sexos,2020,7.398
República Checa,TOTAL,Ambos sexos,2019,7.170
República Checa,TOTAL,Ambos sexos,2018,6.992
República Checa,TOTAL,Ambos sexos,2017,7.043
República Checa,TOTAL,Ambos sexos,2016,7.529
República Checa,TOTAL,Ambos sexos,2015,7.964
República Checa,TOTAL,Ambos sexos,2014,8.402
República Checa,TOTAL,Ambos sexos,2013,9.388
República Checa,TOTAL,Ambos sexos,2012,9.767
República Checa,TOTAL,Ambos sexos,2011,9.514
República Checa,TOTAL,Ambos sexos,2010,9.445
República Checa,TOTAL,Ambos sexos,2009,9.053
República Checa,TOTAL,Ambos sexos,2008,8.323
República Checa,TOTAL,Ambos sexos,2007,6.916
República Checa,TOTAL,Ambos sexos,2006,5.654
República Checa,TOTAL,Ambos sexos,2005,4.677
República Checa,TOTAL,Ambos sexos,2004,3.784
República Checa,TOTAL,Ambos sexos,2003,3.687
República Checa,TOTAL,Ambos sexos,2002,2.923
República Checa,TOTAL,Ambos sexos,2001,2.178
República Checa,TOTAL,Ambos sexos,2000,1.462
República Checa,TOTAL,Ambos sexos,1999,742
República Checa,TOTAL,Ambos sexos,1998,979
República Checa,TOTAL,Hombres,2022,2.700
República Checa,TOTAL,Hombres,2021,2.593
República Checa,TOTAL,Hombres,2020,2.630
República Checa,TOTAL,Hombres,2019,2.526
República Checa,TOTAL,Hombres,2018,2.490
República Checa,TOTAL,Hombres,2017,2.491
República Checa,TOTAL,Hombres,2016,2.761
República Checa,TOTAL,Hombres,2015,3.029
República Checa,TOTAL,Hombres,2014,3.282
República Checa,TOTAL,Hombres,2013,3.826
República Checa,TOTAL,Hombres,2012,4.097
República Checa,TOTAL,Hombres,2011,4.066
República Checa,TOTAL,Hombres,2010,4.123
República Checa,TOTAL,Hombres,2009,4.009
República Checa,TOTAL,Hombres,2008,3.680
República Checa,TOTAL,Hombres,2007,2.943
República Checa,TOTAL,Hombres,2006,2.278
República Checa,TOTAL,Hombres,2005,1.840
República Checa,TOTAL,Hombres,2004,1.490
República Checa,TOTAL,Hombres,2003,1.483
República Checa,TOTAL,Hombres,2002,1.171
República Checa,TOTAL,Hombres,2001,862
República Checa,TOTAL,Hombres,2000,547
República Checa,TOTAL,Hombres,1999,310
República Checa,TOTAL,Hombres,1998,402
República Checa,TOTAL,Mujeres,2022,4.689
República Checa,TOTAL,Mujeres,2021,4.606
República Checa,TOTAL,Mujeres,2020,4.768
República Checa,TOTAL,Mujeres,2019,4.644
República Checa,TOTAL,Mujeres,2018,4.502
República Checa,TOTAL,Mujeres,2017,4.552
República Checa,TOTAL,Mujeres,2016,4.768
República Checa,TOTAL,Mujeres,2015,4.935
República Checa,TOTAL,Mujeres,2014,5.120
República Checa,TOTAL,Mujeres,2013,5.562
República Checa,TOTAL,Mujeres,2012,5.670
República Checa,TOTAL,Mujeres,2011,5.448
República Checa,TOTAL,Mujeres,2010,5.322
República Checa,TOTAL,Mujeres,2009,5.044
República Checa,TOTAL,Mujeres,2008,4.643
República Checa,TOTAL,Mujeres,2007,3.973
República Checa,TOTAL,Mujeres,2006,3.376
República Checa,TOTAL,Mujeres,2005,2.837
República Checa,TOTAL,Mujeres,2004,2.294
República Checa,TOTAL,Mujeres,2003,2.204
República Checa,TOTAL,Mujeres,2002,1.751
República Checa,TOTAL,Mujeres,2001,1.315
República Checa,TOTAL,Mujeres,2000,915
República Checa,TOTAL,Mujeres,1999,432
República Checa,TOTAL,Mujeres,1998,577
República Checa,Nacionalidad Española,Ambos sexos,2022,657
República Checa,Nacionalidad Española,Ambos sexos,2021,615
República Checa,Nacionalidad Española,Ambos sexos,2020,576
República Checa,Nacionalidad Española,Ambos sexos,2019,538
República Checa,Nacionalidad Española,Ambos sexos,2018,518
República Checa,Nacionalidad Española,Ambos sexos,2017,494
República Checa,Nacionalidad Española,Ambos sexos,2016,473
República Checa,Nacionalidad Española,Ambos sexos,2015,445
República Checa,Nacionalidad Española,Ambos sexos,2014,420
República Checa,Nacionalidad Española,Ambos sexos,2013,406
República Checa,Nacionalidad Española,Ambos sexos,2012,409
República Checa,Nacionalidad Española,Ambos sexos,2011,408
República Checa,Nacionalidad Española,Ambos sexos,2010,378
República Checa,Nacionalidad Española,Ambos sexos,2009,365
República Checa,Nacionalidad Española,Ambos sexos,2008,359
República Checa,Nacionalidad Española,Ambos sexos,2007,358
República Checa,Nacionalidad Española,Ambos sexos,2006,349
República Checa,Nacionalidad Española,Ambos sexos,2005,367
República Checa,Nacionalidad Española,Ambos sexos,2004,376
República Checa,Nacionalidad Española,Ambos sexos,2003,349
